地区,现有确诊,累计确诊,疑似,死亡,死亡率,治愈,治愈率
中国,581,85560,7,4648,5.43,80331,93.89
香港,248,1469,0,7,0.48,1214,82.64
北京,240,929,0,9,0.97,680,73.20
上海,28,724,0,7,0.97,689,95.17
辽宁,12,164,0,2,1.22,150,91.46
四川,9,599,0,3,0.50,587,98.00
内蒙古,7,245,0,1,0.41,237,96.73
广东,6,1648,0,8,0.49,1634,99.15
台湾,6,451,0,7,1.55,438,97.12
天津,5,203,0,3,1.48,195,96.06
河北,4,349,0,6,1.72,339,97.13
陕西,4,321,0,3,0.93,314,97.82
甘肃,3,167,0,2,1.20,162,97.01
山西,2,200,0,0,0.00,198,99.00
浙江,2,1270,0,1,0.08,1267,99.76
云南,2,187,0,2,1.07,183,97.86
重庆,1,582,0,6,1.03,575,98.80
澳门,1,46,0,0,0.00,45,97.83
福建,1,363,0,1,0.28,361,99.45
湖北,0,68135,0,4512,6.62,63623,93.38
江西,0,932,0,1,0.11,931,99.89
山东,0,792,0,7,0.88,785,99.12
青海,0,18,0,0,0.00,18,100.00
西藏,0,1,0,0,0.00,1,100.00
河南,0,1276,0,22,1.72,1254,98.28
贵州,0,147,0,2,1.36,145,98.64
新疆,0,76,0,3,3.95,73,96.05
海南,0,171,0,6,3.51,165,96.49
吉林,0,155,0,2,1.29,153,98.71
广西,0,254,0,2,0.79,252,99.21
湖南,0,1019,0,4,0.39,1015,99.61
江苏,0,654,0,0,0.00,654,100.00
宁夏,0,75,0,0,0.00,75,100.00
黑龙江,0,947,0,13,1.37,934,98.63
安徽,0,991,0,6,0.61,985,99.39
